🌿 1. Desa Cibodas (Lembang, Bandung Barat, Jawa Barat)
Kondisi Desa
Ketinggian: ±1.250–1.500 mdpl
Suhu: 16–23°C
Tanah: Vulkanik dan sangat subur
Cocok untuk hortikultura dan peternakan
Mayoritas masyarakat bekerja sebagai:
Petani sayuran
Petani stroberi
Peternak sapi perah
Pelaku UMKM olahan pangan

🥦 Pertanian


🥬 Sayuran



🍯 Madu



☕kopi



🧺 Kerajinan



🍪 Snack


No | Produk | Berat | Harga | Deskripsi Singkat | Keunggulan | Petani / UMKM | Sejak | Cerita Produk
1 | Brokoli Segar Grade A | 500 gr | Rp18.000 | Brokoli segar hasil panen harian dengan warna hijau cerah dan tekstur padat. | Dipanen setiap pagi, bebas pengawet, kaya vitamin C dan serat. | Pak Dedi Suhendar | 2010 | Di lereng pegunungan Desa Cibodas pada ketinggian sekitar 1.350 mdpl, brokoli ini tumbuh di tanah vulkanik yang subur dengan suhu sejuk 16–23°C. Kabut pagi menjaga kelembapan tanaman sehingga menghasilkan kuntum yang padat, renyah, dan berwarna hijau pekat. Pak Dedi telah merawat lahan ini selama lebih dari 15 tahun dengan sistem panen harian agar setiap brokoli sampai ke tangan pembeli dalam kondisi paling segar.
2 | Brokoli Segar Grade Premium | 500 gr | Rp25.000 | Brokoli pilihan dengan ukuran seragam dan kualitas premium. | Grade restoran dan hotel, ukuran besar, warna hijau pekat. | Pak Asep Mulyana | 2008 | Tidak semua brokoli berhasil menjadi Grade Premium. Setelah dipanen, hanya sekitar 30% hasil panen terbaik yang lolos proses seleksi berdasarkan ukuran, warna, dan kepadatan bunga. Brokoli pilihan inilah yang menjadi favorit restoran di kawasan Bandung dan Lembang.
3 | Frozen Broccoli | 500 gr | Rp28.000 | Brokoli segar yang dibekukan dengan teknologi quick freezing. | Nutrisi tetap terjaga, praktis dimasak. | Cibodas Fresh Farm | 2018 | Sesaat setelah dipanen, brokoli langsung dibersihkan dan dibekukan menggunakan metode quick freezing. Proses ini menjaga warna hijau alami, tekstur, dan kandungan gizinya sehingga pembeli tetap merasakan kesegaran layaknya baru dipanen dari kebun.
4 | Keripik Brokoli Original | 150 gr | Rp22.000 | Keripik sehat berbahan brokoli segar. | Tanpa pengawet, rendah minyak. | Ibu Rina Handayani | 2019 | Berawal dari banyaknya brokoli yang tidak lolos sortir karena ukuran kurang sempurna, ibu-ibu UMKM Desa Cibodas mengolahnya menjadi keripik sehat yang kini menjadi oleh-oleh khas daerah. Produk ini membantu mengurangi limbah hasil panen sekaligus meningkatkan pendapatan petani.
5 | Keripik Brokoli Balado | 150 gr | Rp24.000 | Keripik brokoli dengan bumbu balado khas Nusantara. | Pedas gurih, tanpa MSG berlebih. | Ibu Rina Handayani | 2019 | Perpaduan brokoli segar dataran tinggi dengan racikan bumbu balado menghasilkan camilan unik yang tetap mempertahankan rasa alami brokoli namun dengan sensasi pedas yang menggugah selera.
6 | Kentang Segar | 1 kg | Rp22.000 | Kentang dataran tinggi dengan tekstur padat. | Cocok digoreng maupun direbus. | Pak Agus Setiawan | 2006 | Kentang ini tumbuh di lahan vulkanik Desa Cibodas yang memiliki suhu rendah sehingga proses pembentukan umbi berlangsung lebih lambat. Hasilnya adalah kentang dengan tekstur lebih padat, rasa lebih manis alami, dan tidak mudah hancur saat dimasak.
7 | Kentang Segar Premium | 1 kg | Rp28.000 | Kentang pilihan berukuran besar dan seragam. | Grade premium, cocok untuk restoran. | Pak Agus Setiawan | 2006 | Hanya kentang dengan ukuran terbaik yang dipilih menjadi Grade Premium. Setiap umbi disortir secara manual untuk memastikan kualitas terbaik sampai ke konsumen.
8 | Frozen French Fries | 500 gr | Rp32.000 | Kentang premium siap goreng. | Praktis, renyah, tanpa pengawet. | Cibodas Frozen Food | 2020 | Kentang dipotong dan dibekukan tidak lama setelah panen sehingga rasa alami dan teksturnya tetap terjaga. Produk ini menjadi solusi praktis tanpa mengurangi kualitas hasil panen lokal.
9 | Keripik Kentang Original | 180 gr | Rp20.000 | Keripik kentang tipis dan renyah. | Kentang lokal pilihan. | Pak Irfan Hidayat | 2017 | Keripik ini dibuat dari kentang pilihan yang dipanen langsung dari petani Desa Cibodas. Setiap irisan digoreng perlahan agar menghasilkan kerenyahan alami tanpa menghilangkan cita rasa khas kentang pegunungan.
10 | Keripik Kentang BBQ | 180 gr | Rp22.000 | Keripik kentang rasa BBQ. | Bumbu rempah premium. | Pak Irfan Hidayat | 2017 | Varian BBQ menjadi favorit wisatawan yang berkunjung ke Lembang. Perpaduan kentang dataran tinggi dengan bumbu rempah menghasilkan rasa gurih dan aroma yang khas.
11 | Wortel Segar | 500 gr | Rp12.000 | Wortel segar kaya beta-karoten. | Dipanen harian, warna cerah. | Pak Wawan Gunawan | 2011 | Udara sejuk Desa Cibodas membuat wortel tumbuh lebih perlahan sehingga rasa manis alaminya berkembang dengan sempurna. Tanah vulkanik yang kaya mineral juga menghasilkan warna oranye yang lebih cerah.
12 | Wortel Segar Premium | 500 gr | Rp16.000 | Wortel pilihan ukuran seragam. | Grade premium. | Pak Wawan Gunawan | 2011 | Setiap wortel dipilih berdasarkan ukuran, bentuk, dan warna terbaik sehingga cocok untuk kebutuhan hotel maupun restoran.
13 | Jus Wortel Murni | 250 ml | Rp18.000 | Jus wortel tanpa tambahan pewarna. | 100% wortel segar. | Fresh Cibodas Juice | 2021 | Jus ini dibuat dari wortel yang baru dipanen pada pagi hari. Tanpa tambahan pewarna maupun pengawet, rasa manis alami berasal langsung dari hasil bumi Desa Cibodas.
14 | Jus Wortel Premium | 300 ml | Rp22.000 | Jus wortel premium. | Menggunakan wortel pilihan. | Fresh Cibodas Juice | 2021 | Menggunakan wortel Grade Premium yang memiliki kandungan air lebih tinggi sehingga menghasilkan jus dengan rasa lebih segar dan tekstur lebih lembut.
15 | Salad Pack Ready to Eat | 300 gr | Rp25.000 | Salad siap santap. | Sayuran segar dipanen harian. | Green Valley Farm | 2019 | Setiap pagi sebelum matahari tinggi, sayuran dipanen lalu dicuci menggunakan air pegunungan yang jernih. Setelah melalui proses sortir, sayuran langsung dikemas agar kesegarannya tetap terjaga.
16 | Caesar Salad Pack | 350 gr | Rp32.000 | Salad dengan saus Caesar premium. | Sayuran premium. | Green Valley Farm | 2019 | Menggunakan selada romaine pilihan yang tumbuh di udara sejuk Lembang sehingga menghasilkan tekstur lebih renyah dan rasa yang lebih segar dibandingkan sayuran dataran rendah.
