
🍫 DATASET DESA WISATA NGLANGGERAN
📍 Informasi Desa

🍫 KATEGORI COKELAT & KAKAO

🍪 KATEGORI SNACK

🍹 KATEGORI MINUMAN

🎁 KATEGORI OLEH-OLEH KHAS

🧺 KATEGORI KERAJINAN



Data | Keterangan
Nama Desa | Desa Wisata Nglanggeran
Kabupaten | Gunungkidul
Provinsi | Daerah Istimewa Yogyakarta
Ketinggian | ±200–700 mdpl
Suhu | 23–30°C
Produk Utama | Kakao, Cokelat, Kerajinan, Oleh-Oleh
Jumlah UMKM | 20
Jumlah Produk | ±120
No | Nama Produk | Harga | Berat | Stok | Rating | Status | UMKM
1 | Cokelat Batang Original | Rp38.000 | 100 gr | 120 | ⭐4.9 | Best Seller | Griya Cokelat
2 | Dark Chocolate 70% | Rp45.000 | 100 gr | 90 | ⭐4.9 | Premium | Griya Cokelat
3 | Milk Chocolate | Rp40.000 | 100 gr | 100 | ⭐4.8 | Favorit | Griya Cokelat
4 | White Chocolate | Rp42.000 | 100 gr | 70 | ⭐4.8 | Premium | Griya Cokelat
5 | Almond Chocolate Bar | Rp52.000 | 120 gr | 60 | ⭐4.9 | Premium | Kakao Purbarasa
6 | Cashew Chocolate | Rp50.000 | 120 gr | 55 | ⭐4.8 | Baru | Kakao Purbarasa
7 | Chocolate Spread | Rp48.000 | 250 gr | 65 | ⭐4.8 | Favorit | Kakao Purbarasa
8 | Cokelat Bubuk Premium | Rp36.000 | 200 gr | 95 | ⭐4.8 | Organik | Griya Cokelat
9 | Minuman Cokelat Instan | Rp32.000 | 200 gr | 120 | ⭐4.8 | Best Seller | Griya Cokelat
10 | Kakao Fermentasi | Rp65.000 | 500 gr | 40 | ⭐4.9 | Premium | Kakao Nglanggeran
No | Nama Produk | Harga | Berat | Stok | Rating | Status | UMKM
1 | Cookies Cokelat | Rp28.000 | 250 gr | 120 | ⭐4.8 | Best Seller | Purbarasa
2 | Brownies Cokelat | Rp55.000 | 450 gr | 80 | ⭐4.9 | Favorit | Purbarasa
3 | Dodol Kakao | Rp32.000 | 300 gr | 100 | ⭐4.9 | Produk Khas | Purbarasa
4 | Choco Stick | Rp25.000 | 150 gr | 130 | ⭐4.7 | Baru | Dapur Kakao
5 | Wafer Cokelat | Rp24.000 | 200 gr | 95 | ⭐4.7 | Favorit | Dapur Kakao
6 | Keripik Singkong | Rp22.000 | 200 gr | 120 | ⭐4.8 | Tradisional | Nglanggeran Snack
7 | Keripik Pisang | Rp24.000 | 200 gr | 110 | ⭐4.8 | Fresh | Nglanggeran Snack
8 | Keripik Sukun | Rp25.000 | 200 gr | 90 | ⭐4.8 | Tradisional | Nglanggeran Snack
No | Nama Produk | Harga | Berat | Stok | Rating | Status | UMKM
1 | Chocomix | Rp30.000 | 200 gr | 120 | ⭐4.8 | Best Seller | Griya Cokelat
2 | Cokelat Panas Premium | Rp38.000 | 250 gr | 90 | ⭐4.9 | Premium | Griya Cokelat
3 | Sirup Kakao | Rp45.000 | 500 ml | 70 | ⭐4.8 | Favorit | Kakao Purbarasa
4 | Kopi Kakao Blend | Rp48.000 | 250 gr | 65 | ⭐4.8 | Baru | Dapur Kakao
5 | Wedang Jahe Cokelat | Rp35.000 | 250 gr | 80 | ⭐4.8 | Herbal | Dapur Kakao
